,Section,Title,Num_Units,CR/NC,Typically Offered,Prerequisites,Description
88,CSC 500, Directed Study,2,1,,Fully classified graduate standing and consent of instructor.,Individual directed study of advanced topics.  Total credit limited to 4 units.  Credit/No Credit grading only.
89,CSC 508, Software Engineering I,4,0,TBD,"CSC/CPE 307 or CSC/CPE 308 and graduate standing, or consent of instructor.","In-depth study of requirements engineering, software project management, formal specifications and object-oriented analysis.  4 seminars."
90,CSC 509, Software Engineering II,4,0,TBD,"CSC 508 and graduate standing, or consent of instructor.",In-depth study of software modeling and design.  Formal design methodologies.  Design patterns.  Detailed case studies of existing projects.  Tools and methods for designing large software systems.  4 seminars.
91,CSC 515, Computer Architecture,4,0,,"CPE 315 and graduate standing, or consent of instructor.","Comparative study and design of multiprocessor, dataflow, RISC, high level language and other new computer architectures.  VLSI processor design techniques.  3 seminars, 1 laboratory.  Crosslisted as CPE/CSC 515.  Formerly CPE/CSC 520."
92,CSC 521, Computer Security,4,0,TBD,CPE/CSC 321 and graduate standing.,"Exploration of advanced topics in computer security with an emphasis on research topics.  3 lectures, 1 laboratory.  Formerly CPE/CSC 556."
93,CSC 530, Languages and Translators,4,0,TBD,"CSC 430 and graduate standing, or consent of instructor.","Advanced programming language and translator concepts.  Language concepts to be covered will be selected from current state-of-the-art languages and current issues in language design.  Compiler concepts will include retargetable code generation, use of translator-writing systems, and error recovery.  4 seminars."
94,CSC 540, Theory of Computation II,4,0,TBD,"CSC 445 and graduate standing, or consent of instructor.","Advanced topics in theoretical computer science from such areas as automata theory, cellular automata theory, computational complexity, and program verification.  4 seminars."
95,CSC 550, Operating Systems,4,0,TBD,"CSC/CPE 453 and graduate standing, or consent of instructor.","General concepts of computer architecture and operating systems.  Design features of advanced computers, general time-sharing systems and schemes for dynamic memory allocation, scheduling and protection.  Dynamic linkage between subroutines.  Intercommunication between input/output and processors.  4 seminars."
96,CSC 560, Database Systems,4,0,TBD,"CSC/CPE 365 and graduate standing, or consent of instructor.","Current topics in database systems:  distributed databases and transactions, nested and long-running transactions, distributed concurrency control, semantic and object-oriented data models, database systems for non-traditional applications:  engineering design databases, active, logic, temporal, multimedia, and real-time databases.  4 seminars."
97,CSC 564, Computer Networks: Research Topics,4,0,TBD,"CSC/CPE 464 and graduate standing, or consent of instructor.","Exploration of advanced topics in emerging computer networking technologies; focus on leading edge computer network research topics.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 564."
98,CSC 566, Topics in Advanced Data Mining,4,0,F,CPE/CSC 466 or CPE/CSC 480 or CPE/CSC 582.,"Advanced topics in the areas of data mining, knowledge discovery in data, machine learning, information retrieval and intelligent analysis of information.  The Schedule of Classes will list topic selected.  Total credit limited to 8 units.  4 lectures."
99,CSC 569, Distributed Computing,4,0,TBD,CSC 141 or CSC 348; and CPE/CSC 357; or graduate standing and consent of instructor.,"Principles and practices in distributed computing:  interprocess communications, group communications, client-server model, distributed objects, message queue system, distributed services, mobile agents, object space, Internet protocols.  Distributed algorithms:  consensus protocols, global state protocols.  Fault tolerance:  classification of faults, replication.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 569."
100,CSC 570, Current Topics in Computer Science,2,0,TBD,Graduate standing and evidence of satisfactory preparation in computer science.,"Directed group study of selected topics for graduate students.  Topics will normally consist of continuations of those in CSC 520, CSC 530, CSC 540, CSC 550, CSC 560 and CSC 580, and other topics as needed.  Class Schedule will list topic selected.  Topic credit limited to 12 units.  2 to 4 seminars."
101,CSC 572, Computer Graphics,4,0,TBD,"Successful completion of CSC/CPE 471 and graduate standing, or consent of instructor.","Advanced topics in computer graphics with emphasis on leading edge computer graphics technologies and advanced topics in graphics fundamentals.  3 lectures, 1 laboratory."
102,CSC 580, Artificial Intelligence,4,0,TBD,"CPE/CSC 480 and graduate standing, or consent of instructor.","Current research in the field of artificial intelligence with emphasis on cooperative agents, distributed agents, and decision making in complex, concurrent environments.  AI programming in a distributed environment.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 580."
103,CSC 581, Computer Support for Knowledge Management,4,0,TBD,CSC/CPE 480 or CSC/CPE 484 or consent of instructor.,"Methods and techniques that computer-based systems can provide to make the management of knowledge and information in digital form easier for the user.  Emphasis on support for knowledge-intensive activities performed by users.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 581."
104,CSC 582, Introduction to Natural Language Processing,4,0,TBD,CPE/CSC 480 or CPE/CSC 466 or graduate standing. Recommended: CSC/CPE 580.,"Classic Natural Language Processing systems and techniques; review of recent advancements in the subject.  Topics selected from:  parsing, tagging, word-sense disambiguation, natural language generation, data mining, voice recognition, vocalization, knowledge management, semantic networks, stylistics and machine learning.  3 lectures, 1 laboratory."
105,CSC 590, Thesis Seminar,1,0,"F, W, SP",Graduate standing or consent of instructor.,"Preparation for conducting research in the field of computer science, through discussions, selected readings, and student presentations.  1 seminar."
106,CSC 593, Cooperative Education Experience,2,1,,Graduate standing and consent of instructor.,"Advanced study analysis and part-time work experience in student's career field; current innovations, practices, and problems in administration, supervision, and organization of business, industry, and government.  Must have demonstrated ability to do independent work and research in career field.  Credit/No Credit grading only."
107,CSC 594, Cooperative Education Experience,6,1,,Graduate standing and consent of instructor.,"Advanced study analysis and full-time work experience in student's career field; current innovations, practices, and problems in administration, supervision, and organization of business, industry, and government.  Must have demonstrated ability to do independent work and research in career field.  Credit/No Credit grading only."
108,CSC 595, Cooperative Education Experience,1,1,,Graduate standing and consent of instructor.,"Advanced study analysis and full-time work experience in student's career field; current innovations, practices, and problems in administration, supervision, and organization of business, industry, and government.  Must have demonstrated ability to do independent work and research in career field.  A fully-developed formal report and evaluation by work supervisor required.  Credit/No Credit grading only."
109,CSC 596, Thesis I,2,0,TBD,Graduate standing and consent of instructor. Corequisite: CSC 590.,"Individual research or activity under faculty supervision, beginning work on the master's thesis."
110,CSC 597, Thesis II,3,0,TBD,CSC 596 and consent of instructor.,"Individual research or activity under faculty supervision, continuing work on the master's thesis."
111,CSC 599, Thesis III,3,0,TBD,"CSC 597, selection of thesis committee, graduate standing, and consent of instructor.",Individual research or activity under faculty supervision leading to an acceptable thesis.
